pro,city,code,pro_code,city_code,city,lat,lon,纬度,经度,最近距离千米,最近港口,
安徽省,淮北市,101,34,340600,淮北市,33.9717,116.795,33.9717,116.795,257.21595,连云港港,
山东省,枣庄市,135,37,370400,枣庄市,34.8564,117.558,34.8564,117.558,171.80911,连云港港,
山东省,临沂市,144,37,371300,临沂市,35.0653,118.326,35.0653,118.326,107.13276,连云港港,
山东省,菏泽市,148,37,371700,菏泽市,35.2465,115.469,35.2465,115.469,365.47405,连云港港,
河南省,郑州市,149,41,410100,郑州市,34.758,113.665,34.758,113.665,527.07892,连云港港,
河南省,开封市,150,41,410200,开封市,34.797,114.341,34.797,114.341,465.26359,连云港港,
河南省,商丘市,162,41,411400,商丘市,34.4371,115.65,34.4371,115.65,348.163,连云港港,
江苏省,南通市,76,32,320600,南通市,32.0162,120.865,32.0162,120.865,4.3329954,南通港,
江苏省,常州市,74,32,320400,常州市,31.7728,119.947,31.7728,119.947,47.000937,镇江港,
江苏省,盐城市,79,32,320900,盐城市,33.3776,120.14,33.3776,120.14,134.2081,镇江港,
江苏省,扬州市,80,32,321000,扬州市,32.3932,119.421,32.3932,119.421,48.32043,镇江港,
江苏省,镇江市,81,32,321100,镇江市,32.2044,119.453,32.2044,119.453,39.842904,镇江港,
江苏省,泰州市,82,32,321200,泰州市,32.4849,119.915,32.4849,119.915,32.861825,镇江港,
福建省,福州市,112,35,350100,福州市,26.0753,119.306,26.0753,119.306,71.395645,福州港,
福建省,宁德市,120,35,350900,宁德市,26.6592,119.527,26.6592,119.527,138.26173,福州港,
福建省,泉州市,116,35,350500,泉州市,24.9089,118.589,24.9089,118.589,9.8541384,泉州港,
福建省,厦门市,113,35,350200,厦门市,24.4905,118.11,24.4905,118.11,3.517986,厦门港,
福建省,龙岩市,119,35,350800,龙岩市,25.0916,117.03,25.0916,117.03,125.30803,厦门港,
江西省,新余市,125,36,360500,新余市,27.8108,114.931,27.8108,114.931,485.05358,厦门港,
江西省,吉安市,128,36,360800,吉安市,27.1117,114.986,27.1117,114.986,425.4263,厦门港,
江西省,宜春市,129,36,360900,宜春市,27.8043,114.391,27.8043,114.391,521.03058,厦门港,
福建省,莆田市,114,35,350300,莆田市,25.431,119.008,25.431,119.008,11.026105,莆田港,
福建省,三明市,115,35,350400,三明市,26.2654,117.635,26.2654,117.635,175.28945,莆田港,
福建省,南平市,118,35,350700,南平市,26.6356,118.178,26.6356,118.178,164.03076,莆田港,
江西省,抚州市,130,36,361000,抚州市,27.9839,116.358,27.9839,116.358,394.9965,莆田港,
福建省,漳州市,117,35,350600,漳州市,24.5109,117.662,24.5109,117.662,41.246349,漳州港,
江西省,萍乡市,123,36,360300,萍乡市,27.6229,113.852,27.6229,113.852,505.16732,广州港,
湖北省,恩施土家族苗族自治州,178,42,422800,恩施土家族苗族自治州,30.2831,109.487,30.2831,109.487,890.94556,广州港,
湖南省,长沙市,179,43,430100,长沙市,28.1941,112.982,28.1941,112.982,569.03265,广州港,
湖南省,株洲市,180,43,430200,株洲市,27.8358,113.152,27.8358,113.152,528.09872,广州港,
湖南省,湘潭市,181,43,430300,湘潭市,27.8467,112.925,27.8467,112.925,531.09088,广州港,
湖南省,衡阳市,182,43,430400,衡阳市,26.9004,112.608,26.9004,112.608,431.68505,广州港,
湖南省,邵阳市,183,43,430500,邵阳市,27.2378,111.469,27.2378,111.469,502.07889,广州港,
湖南省,常德市,185,43,430700,常德市,29.0402,111.691,29.0402,111.691,684.12475,广州港,
湖南省,张家界市,186,43,430800,张家界市,29.1274,110.48,29.1274,110.48,733.46001,广州港,
湖南省,益阳市,187,43,430900,益阳市,28.5701,112.355,28.5701,112.355,618.69657,广州港,
湖南省,郴州市,188,43,431000,郴州市,25.7936,113.032,25.7936,113.032,303.15259,广州港,
湖南省,永州市,189,43,431100,永州市,26.4345,111.608,26.4345,111.608,415.4543,广州港,
湖南省,怀化市,190,43,431200,怀化市,27.5501,109.978,27.5501,109.978,606.05519,广州港,
湖南省,娄底市,191,43,431300,娄底市,27.7281,112.008,27.7281,112.008,535.26706,广州港,
湖南省,湘西土家族苗族自治州,192,43,433100,湘西土家族苗族自治州,28.3143,109.74,28.3143,109.74,689.24738,广州港,
